term,G_diag,G_1,G_2,G_3,G_4,G_5,G_6,G_7
T1_star,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
T2_family_XZ,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
T3_leaf_ring,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0
T4_central_parity,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0
T5_orientation_mix,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
T6_current,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
T7_leaf_family_selector,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
